"Team","MaxYear","MinYear","YearsActive","Link","TeamName","Color1","Color2","ColorSolo","ColorLight"
"ATL","2013","1966","1966-2013","http://www.pro-football-reference.com/teams/atl/","Atlanta Falcons","#000000","#BD0D18","#BD0D18","#F5DADC"
"BCL","1950","1950","1950","http://www.pro-football-reference.com/teams/bcl/","Baltimore Colts","#B3B3B3","#007A29","#007A29","#D8EBDE"
"BUF","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/buf/","Buffalo Bills","#00133F","#00338D","#00338D","#D8E0ED"
"CAR","2013","1995","1995-2013","http://www.pro-football-reference.com/teams/car/","Carolina Panthers","#0097C6","#0088CE","#0088CE","#D8EDF7"
"CHI","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/chi/","Chicago Bears","#00133F","#DD4814","#DD4814","#F9E3DB"
"CIN","2013","1968","1968-2013","http://www.pro-football-reference.com/teams/cin/","Cincinnati Bengals","#FF2700","#FB4F14","#FB4F14","#FEE4DB"
"CLE","2013","1950","1950-1995,1999-2013","http://www.pro-football-reference.com/teams/cle/","Cleveland Browns","#4C230E","#E34912","#E34912","#FAE3DB"
"CLT","2013","1953","1953-2013","http://www.pro-football-reference.com/teams/clt/","Baltimore/Indianapolis Colts","#00417E","#003B7B","#336295","#E0E7EF"
"CRD","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/crd/","Chicago/St. Louis/Arizona Cardinals","#B10339","#870619","#CC0000","#F7D8D8"
"DAL","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/dal/","Dallas Cowboys","#002E4D","#8C8B8A","#8C8B8A","#EDEDED"
"DEN","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/den/","Denver Broncos","#002E4D","#FB4F14","#FB4F14","#FEE4DB"
"DET","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/det/","Detroit Lions","#006EA1","#006DB0","#006DB0","#D8E9F3"
"DTX","1952","1952","1952","http://www.pro-football-reference.com/teams/dtx/","Dallas Texans","#0000CC","#FFFFFF","#0000CC","#D8D8F7"
"GNB","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/gnb/","Green Bay Packers","#294239","#213D30","#009900","#D8EFD8"
"HTX","2013","2002","2002-2013","http://www.pro-football-reference.com/teams/htx/","Houston Texans","#00133F","#B31B34","#B31B34","#F3DCE0"
"JAX","2013","1995","1995-2013","http://www.pro-football-reference.com/teams/jax/","Jacksonville Jaguars","#00839C","#007198","#007198","#D8E9EF"
"KAN","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/kan/","Kansas City Chiefs","#C60024","#B20032","#B20032","#F3D8E0"
"MIA","2013","1966","1966-2013","http://www.pro-football-reference.com/teams/mia/","Miami Dolphins","#006B79","#006666","#479191","#E3EEEE"
"MIN","2013","1961","1961-2013","http://www.pro-football-reference.com/teams/min/","Minnesota Vikings","#240A67","#3B0160","#8A00E6","#EDD8FB"
"NOR","2013","1967","1967-2013","http://www.pro-football-reference.com/teams/nor/","New Orleans Saints","#C6A876","#000000","#D2B887","#F8F4ED"
"NWE","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/nwe/","New England Patriots","#00295B","#0D254C","#0D254C","#DADEE4"
"NYG","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/nyg/","New York Giants","#003155","#192F6B","#192F6B","#DCDFE8"
"NYJ","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/nyj/","New York Jets","#174032","#0C371D","#006600","#D8E8D8"
"NYY","1951","1950","1950-1951","http://www.pro-football-reference.com/teams/nyy/","New York Yanks","#000000","#FFFFFF","#000000","#D8D8D8"
"OTI","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/oti/","Houston Oilers/Tennessee Titans","#002C4B","#648FCC","#648FCC","#E7EEF7"
"PHI","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/phi/","Philadelphia Eagles","#002F30","#003B48","#339966","#E0EFE8"
"PIT","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/pit/","Pittsburgh Steelers","#000000","#F2C800","#F2C800","#FDF6D8"
"RAI","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/rai/","Oakland/Los Angeles Raiders","#000000","#000000","#000000","#D8D8D8"
"RAM","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/ram/","Cleveland/LA/St. Louis Rams","#00295B","#13264B","#C9AF74","#F6F3EA"
"RAV","2013","1996","1996-2013","http://www.pro-football-reference.com/teams/rav/","Baltimore Ravens","#2B025B","#280353","#8E2BB0","#EEDFF3"
"SDG","2013","1960","1960-2013","http://www.pro-football-reference.com/teams/sdg/","San Diego Chargers","#05173C","#5B92E5","#5B92E5","#E6EEFB"
"SEA","2013","1976","1976-2013","http://www.pro-football-reference.com/teams/sea/","Seattle Seahawks","#030F1F","#4EAE47","#4EAE47","#E4F2E3"
"SFO","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/sfo/","San Francisco 49ers","#940029","#AF1E2C","#AF1E2C","#F3DDDF"
"TAM","2013","1976","1976-2013","http://www.pro-football-reference.com/teams/tam/","Tampa Bay Buccaneers","#665C50","#B20032","#B20032","#F3D8E0"
"WAS","2013","1950","1950-2013","http://www.pro-football-reference.com/teams/was/","Washington Redskins","#8C001A","#773141","#FFB612","#FFF4DB"
